session;created;modified;ended;expired;datenschutz;flen_AN1;flen_UM1;flen_AN2;flen_UM2;flen_WI1;flen_AN3;flen_UM3;flen_WI2;flen_AN4;flen_UM4;flen_WI3;tc_st;tc_sr;tfe_1_st;tfe_2_st;tfe_3_st;tfe_4_st;tfe_5_st;sel_1_st;sel_2_st;sel_3_st;sel_4_st;sel_5_st;enr_1_st;enr_2_st;enr_3_st;enr_4_st;enr_5_st;rel_1_st;rel_2_st;rel_3_st;rel_4_st;tfe_1_sr;tfe_2_sr;tfe_3_sr;tfe_4_sr;tfe_5_sr;sel_1_sr;sel_2_sr;sel_3_sr;sel_4_sr;sel_5_sr;enr_1_sr;enr_2_sr;enr_3_sr;enr_4_sr;enr_5_sr;rel_1_sr;rel_2_sr;rel_3_sr;rel_4_sr;standort;standort_other;semester;lehramt;lehramt_other;fach;fach_other
KDVgk3vehfyLbSzvSv4TRt-1BV12B-9Dk7JHlGQzDpITqfHQkHJYieSkVnTPE2yA;23.05.2019 19:37;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SDDIp_LnFKQL5ihhSUfMIMV82IpF7uYQVlmsj6owGtwV-oAtWTWyMD_WDbm2b5Di;23.05.2019 19:44;26.05.2019 17:06;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agqIv_f1gJMse0Snx523gh_zurcxkul90-Yz5hxLZTxuJPWykL9pwC2Uth4NKG8M;23.05.2019 19:48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
yUUb6Ihfx0mhmAhHgjYxfocKsjhWxI4tb1XFeWNzQuU2S5uxKAs1ZnWGKBAbNbwq;23.05.2019 19:49;23.05.2019 20:00;23.05.2019 20:00;NA;1;4;4;4;3;2;4;3;1;4;4;1;2;1;1;2;3;3;1;4;5;5;3;4;5;6;6;5;2;6;4;5;6;1;1;2;3;1;4;4;4;3;4;5;5;5;6;2;5;5;4;4;1;NA;6;1;NA;4, 15, 40;NA
zyeuUMd2k1pakaLutSYAykiw1r-3wHIG80Zj1SxWM-g0zhzT1_iklqlCO42ZogNq;23.05.2019 19:50;23.05.2019 20:00;23.05.2019 20:00;NA;1;3;3;3;2;1;2;3;2;4;3;2;2;1;1;3;2;4;2;4;2;4;5;3;4;3;4;3;2;3;3;3;4;2;2;3;3;2;3;4;3;3;3;3;3;4;3;2;4;4;3;3;1;NA;6;1;NA;12, 40;NA
SC2uANDLHDtWhy_J579gx2bGq1g7pT9bVrImmV8-DKLN2cT8f2HxlzoaybmIngg5;23.05.2019 19:54;23.05.2019 20:15;23.05.2019 20:15;NA;1;4;4;4;2;3;4;4;3;3;3;1;2;1;1;3;1;4;1;4;4;4;4;4;3;2;3;2;3;5;6;5;6;1;2;1;2;1;4;3;3;3;3;6;4;3;5;6;6;5;6;5;1;NA;6;1;NA;12, 39;NA
W0aaWSRPX1MqRBmf4w-BMKx6DOx52_AUyKSeiqhOLKly169kLjY3Y2NP_bZK9H7t;23.05.2019 19:58;23.05.2019 20:07;23.05.2019 20:07;NA;1;4;4;4;2;3;3;4;3;4;4;1;2;2;2;2;4;3;4;3;5;6;6;6;4;2;6;2;3;4;3;5;6;1;3;3;4;4;5;6;6;5;3;2;4;5;5;1;3;5;5;5;1;NA;6;1;NA;31, 39;NA
t4BAiNxa_wwuj6RnOGO92CqBDCRgEgapLpwiRf4bgKrYsPH708ryJJmJ3MfT5OPw;23.05.2019 20:00;23.05.2019 20:23;NA;NA;1;4;3;3;3;3;3;3;2;3;3;1;1;NA;2;2;1;2;1;4;5;5;4;3;2;3;3;3;3;4;6;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
W0aaWSRPX1MqRBmf4w-BMKx6DOx52_AUyKSeiqhOLKly169kLjY3Y2NP_bZK9H7t;23.05.2019 20:08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9eU5LY23H6YnUmkf6BIll53AH3S7JXRVsMG0iq9bMiqC_0O3DoaeZu7SVOdJ_duV;23.05.2019 20:35;23.05.2019 20:45;23.05.2019 20:45;NA;1;3;3;3;3;3;3;2;2;4;3;2;2;1;3;3;2;4;3;2;3;4;2;3;5;3;4;5;4;3;4;4;4;3;4;4;3;3;4;2;3;3;3;3;5;4;3;4;4;4;4;3;1;NA;6;1;NA;12, 31;NA
ZdzUzf2Na9VM2x8RVykO7ft9a1nMkHWmqNGI0QRAlhmxYs3QZXvm65BGWmEiVtRf;23.05.2019 21:15;23.05.2019 21:46;23.05.2019 21:46;NA;1;3;3;4;3;2;4;3;1;4;3;2;2;1;2;2;2;2;2;3;5;2;3;2;2;5;2;3;2;4;5;3;5;2;2;1;2;2;2;2;3;3;3;2;3;4;3;3;5;4;4;4;1;NA;6;1;NA;12, 13;NA
CbQH5_thDOwp224qvcRgb8YiWhnsNBcRTLchMtBGtDYOA5QpgZQLvHKiYObXtWDt;23.05.2019 21:16;24.05.2019 00:14;NA;NA;1;4;4;4;1;2;4;4;2;3;3;2;2;NA;2;3;1;2;1;1;3;3;4;2;3;3;4;4;1;3;4;6;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
LAkt8e0njkRW3OIxIfzTCCd3vSbSKZKBFQOmliegvQR2hURJjJdoPkfexfHk2HVP;23.05.2019 21:26;23.05.2019 21:44;23.05.2019 21:44;NA;1;4;4;4;4;3;4;4;1;4;4;2;2;1;3;3;2;5;3;4;5;5;5;4;4;4;4;4;4;6;6;5;6;3;3;3;3;4;5;5;5;4;4;3;6;6;3;3;5;4;6;6;1;NA;6;1;NA;12, 39;NA
